유형,기간,상품수,일평균,카테고리,평균순위,평균가격,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
1주차_TOP2,1주차,,,의류 - 데님,,,8,2026-05-03,84222,43%,,0,0,,(1차 리오더) VINTAGE VELVET WIDE CURVED DENIM PANTS [3COLORS],./2026년_05월_1주차_통계.md
1주차_TOP3,1주차,,,의류 - 아우터,,,8,2026-05-05,133091,33%,,0,0,,HIGH-NECK ZIP-UP VARSITY JUMPER [IVORY][BLACK],./2026년_05월_1주차_통계.md
1주차_TOP4,1주차,,,의류 - 셔츠,,,10,2026-05-03,72917,43%,,0,0,,"[한빛,여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS]",./2026년_05월_1주차_통계.md
1주차_TOP5,1주차,,,의류 - 스커트,,,14,2026-05-03,81496,37%,,0,0,,"[지인,여민,경은,한빛 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./2026년_05월_1주차_통계.md
2주차_TOP1,2주차,,,의류 - 스커트,,,8,2026-05-08,102168,21%,,0,0,,"[지인,여민,경은,한빛 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./2026년_05월_2주차_통계.md
2주차_TOP2,2주차,,,의류 - 니트,,,21,2026-05-08,86328,21%,,0,0,,[한빛 PICK] OVER-FIT DEEP V-NECK PULL OVER [BUTTER YELLOW][MELANGE GREY],./2026년_05월_2주차_통계.md
2주차_TOP3,2주차,,,의류 - 아우터,,,23,2026-05-11,229140,32%,,0,0,,(2차 리오더)[ITALY] TWILL TEXTURE WOOL SHORT JACKET [BLACK],./2026년_05월_2주차_통계.md
2주차_TOP4,2주차,,,의류 - 팬츠,,,31,2026-05-12,61336,25%,,0,0,,[예지 PICK](4차 리오더) STITCHED BERMUDA PANTS [3COLORS],./2026년_05월_2주차_통계.md
2주차_TOP5,2주차,,,의류 - 티셔츠,,,36,2026-05-10,48664,38%,,0,0,,LINEN BLENDED LAYERED SLEEVELESS TOP [3COLORS],./2026년_05월_2주차_통계.md
3주차_TOP1,3주차,,,의류 - 셔츠,,,3,2026-05-21,88092,32%,,0,0,,"[한빛,여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS]",./2026년_05월_3주차_통계.md
3주차_TOP2,3주차,,,의류 - 데님,,,12,2026-05-16,76184,27%,,0,0,,(1차 리오더) WASHED WIDE DENIM PANTS [MIDDLE BLUE],./2026년_05월_3주차_통계.md
3주차_TOP3,3주차,,,의류 - 데님,,,15,2026-05-16,67221,36%,,0,0,,[예지 PICK](2차 리오더) CURVED DENIM PANTS [3COLORS],./2026년_05월_3주차_통계.md
3주차_TOP4,3주차,,,의류 - 티셔츠,,,18,2026-05-20,28297,27%,,0,0,,"[여민,예지,한빛 PICK](2차 리오더) SIGNATURE CROP T-SHIRT [7COLORS]",./2026년_05월_3주차_통계.md
3주차_TOP5,3주차,,,의류 - 스커트,,,22,2026-05-21,44814,57%,,0,0,,CRINKLE SATIN LONG SKIRT [5COLORS],./2026년_05월_3주차_통계.md
4주차_TOP1,4주차,,,의류 - 스커트,,,1,2026-05-27,90300,30%,,0,0,,"[지인,여민,경은,한빛 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./2026년_05월_4주차_통계.md
4주차_TOP2,4주차,,,의류 - 블라우스,,,1,2026-05-27,69300,30%,,0,0,,[리라 PICK] COWL NECK DRAPE BLOUSE [ICE GREY][NAVY],./2026년_05월_4주차_통계.md
4주차_TOP3,4주차,,,의류 - 셔츠,,,2,2026-05-22,86275,33%,,0,0,,"[한빛,여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS]",./2026년_05월_4주차_통계.md
4주차_TOP4,4주차,,,의류 - 셔츠,,,2,2026-05-27,74970,37%,,0,0,,"[예지,한빛 PICK] (2차 리오더) OVERSIZE DOLMAN SLEEVE CHECK SHIRT [ORANGE CHECK][BLACK CHECK]",./2026년_05월_4주차_통계.md
4주차_TOP5,4주차,,,의류 - 아우터,,,2,2026-05-27,111300,30%,,0,0,,[리라 PICK] CREASE SILKY LINEN OVER-FIT JACKET [3COLORS],./2026년_05월_4주차_통계.md
5주차_TOP1,5주차,,,의류 - 스커트,,,19,2026-05-31,96492,25%,,0,0,,"[지인,여민,경은,한빛 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./2026년_05월_5주차_통계.md
5주차_TOP2,5주차,,,의류 - 원피스,,,21,2026-05-29,78470,34%,,0,0,,(14차 리오더) SATIN SLEEVELESS LONG DRESS [5COLORS],./2026년_05월_5주차_통계.md
5주차_TOP3,5주차,,,의류 - 블라우스,,,25,2026-05-29,69300,30%,,0,0,,[리라 PICK] COWL NECK DRAPE BLOUSE [ICE GREY][NAVY],./2026년_05월_5주차_통계.md
5주차_TOP4,5주차,,,의류 - 아우터,,,27,2026-05-29,111300,30%,,0,0,,[리라 PICK] CREASE SILKY LINEN OVER-FIT JACKET [3COLORS],./2026년_05월_5주차_통계.md
5주차_TOP5,5주차,,,의류 - 아우터,,,30,2026-05-29,125370,37%,,0,0,,HIGH-NECK ZIP-UP VARSITY JUMPER [IVORY][BLACK],./2026년_05월_5주차_통계.md
