유형,기간,상품수,일평균,카테고리,평균순위,평균가격,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
1주차_TOP5,1주차,,,의류 - 셔츠,,,9,2026-03-06,68068,43%,,0,0,,NEW LAYERED CUFFS COTTON SHIRT [BLUE],./2026년_03월_1주차_통계.md
2주차_TOP1,2주차,,,가방 - 백액세서리,,,4,2026-03-12,12384,61%,,0,0,,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./2026년_03월_2주차_통계.md
2주차_TOP2,2주차,,,의류 - 아우터,,,6,2026-03-11,157740,34%,,0,0,,[유니 PICK](1차 리오더) OVER-FIT ALICE TWEED JACKET [IVORY][BLACK],./2026년_03월_2주차_통계.md
2주차_TOP3,2주차,,,전체,,,7,2026-03-08,148852,25%,,0,0,,[유니 PICK] CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL],./2026년_03월_2주차_통계.md
2주차_TOP4,2주차,,,의류 - 아우터,,,8,2026-03-08,117480,34%,,0,0,,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./2026년_03월_2주차_통계.md
2주차_TOP5,2주차,,,의류 - 스커트,,,11,2026-03-11,65340,34%,,0,0,,[유니 PICK] DOT PRINT LAYERED MID SKIRT [WHITE][BLACK],./2026년_03월_2주차_통계.md
3주차_TOP1,3주차,,,의류 - 아우터,,,1,2026-03-17,113920,36%,,0,0,,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./2026년_03월_3주차_통계.md
3주차_TOP2,3주차,,,의류 - 스커트,,,1,2026-03-21,92880,28%,,0,0,,[경은 PICK] CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK],./2026년_03월_3주차_통계.md
3주차_TOP3,3주차,,,의류 - 셔츠,,,18,2026-03-17,88960,36%,,0,0,,HAILEY OVERSIZE CROPPED SHIRT [3COLORS],./2026년_03월_3주차_통계.md
3주차_TOP4,3주차,,,의류 - 셔츠,,,20,2026-03-20,85680,28%,,0,0,,[경은 PICK] CREASE TEXTURE SHIRRING SHIRT [WHITE][BLACK],./2026년_03월_3주차_통계.md
3주차_TOP5,3주차,,,의류 - 데님,,,21,2026-03-16,64680,38%,,0,0,,[채랑 PICK] CURVED DENIM PANTS [3COLORS],./2026년_03월_3주차_통계.md
4주차_TOP1,4주차,,,의류 - 원피스,,,2,2026-03-24,48880,48%,,0,0,,[단독](16차 리오더) AVEC HACIE COTTON LONG DRESS [CHARCOAL],./2026년_03월_4주차_통계.md
4주차_TOP2,4주차,,,의류 - 스커트,,,4,2026-03-22,88236,32%,,0,0,,[경은 PICK] CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK],./2026년_03월_4주차_통계.md
4주차_TOP3,4주차,,,의류 - 원피스,,,12,2026-03-24,48880,48%,,0,0,,[단독](13차 리오더) AVEC HACIE COTTON LONG DRESS [IVORY],./2026년_03월_4주차_통계.md
4주차_TOP4,4주차,,,의류 - 티셔츠,,,15,2026-03-24,75600,28%,,0,0,,CREASE SATIN LAYERED SLEEVELESS BLOUSE [IVORY][BLACK],./2026년_03월_4주차_통계.md
4주차_TOP5,4주차,,,의류 - 티셔츠,,,17,2026-03-25,33840,28%,,0,0,,[경은 PICK] MULTI SILKET ROUND NECK T-SHIRT [3COLORS],./2026년_03월_4주차_통계.md
5주차_TOP1,5주차,,,의류 - 셔츠,,,4,2026-03-31,80920,32%,,0,0,,[한빛 PICK] OVERSIZE DOLMAN SLEEVE CHECK SHIRT [ORANGE CHECK][BLACK CHECK],./2026년_03월_5주차_통계.md
5주차_TOP2,5주차,,,의류 - 팬츠,,,16,2026-03-31,71760,48%,,0,0,,"[한빛,채랑 PICK] TAILORED OVERFIT WOOL BLENDED PANTS [3COLORS]",./2026년_03월_5주차_통계.md
5주차_TOP3,5주차,,,의류 - 원피스,,,40,2026-03-29,57152,39%,,0,0,,[단독](16차 리오더) AVEC HACIE COTTON LONG DRESS [CHARCOAL],./2026년_03월_5주차_통계.md
5주차_TOP4,5주차,,,의류 - 티셔츠,,,43,2026-03-31,79800,24%,,0,0,,CREASE SATIN LAYERED SLEEVELESS BLOUSE [IVORY][BLACK],./2026년_03월_5주차_통계.md
5주차_TOP5,5주차,,,의류 - 아우터,,,50,2026-03-29,108224,39%,,0,0,,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./2026년_03월_5주차_통계.md
